mosaic_id;ra_dates;dec_dates;date;flux_dates
P000+03;0.008;3.314;2021-04-14 09:49:19;0.98
P000+23;0.031;23.395;2019-02-21 17:43:56;0.866
P000+31;0.22;30.927;2019-08-06 15:11:10;1.109
P000+36;0.143;35.946;2019-07-15 04:39:10;1.205
P000+38;0.947;38.463;2019-05-06 07:51:50;1.115
P000+48;0.649;48.5;2019-06-17 17:11:28;0.932
P001+26;1.793;25.921;2019-06-17 09:16:28;1.261
P001+33;1.178;33.445;2019-08-13 08:37:38;0.903
P001+41;1.091;40.974;2020-02-14 01:26:20;1.025
P002+01;2.544;0.826;2019-06-18 22:00:45;0.927
P002+18;2.178;18.394;2020-01-27 14:50:00;0.893
P002+21;2.267;20.905;2019-11-21 22:55:51;0.953
P002+23;2.851;23.42;2019-07-24 22:34:46;0.931
P002+28;2.643;28.438;2019-07-12 22:53:10;1.27
P003+31;3.238;30.953;2019-07-10 01:39:46;1.003
P003+36;3.341;35.974;2019-03-22 22:12:43;1.021
P004+16;4.576;15.905;2018-11-13 18:13:17;0.968
P004+18;4.906;18.418;2019-10-14 10:56:23;0.85
P004+26;4.673;25.946;2019-07-16 21:16:34;1.046
P004+33;4.281;33.472;2019-07-16 18:22:04;0.935
P004+38;4.254;38.492;2019-05-18 09:05:55;1.118
P004+41;4.521;41.004;2019-12-08 16:15:22;0.976
P005+01;5.133;0.848;2021-02-07 17:30:41;1.023
P005+21;5.04;20.929;2019-10-12 22:29:07;0.921
P005+23;5.671;23.444;2019-02-21 17:35:56;1.07
P005+28;5.587;28.464;2019-06-20 01:42:07;0.99
P006+31;6.257;30.98;2018-09-16 00:56:45;1.018
P006+36;6.54;36.002;2018-09-20 23:16:58;1.115
P007+16;7.268;15.928;2019-04-16 05:49:06;0.906
P007+18;7.634;18.441;2020-02-14 02:53:08;1.016
P007+21;7.809;20.953;2019-05-14 12:07:24;1.071
P007+26;7.551;25.971;2019-03-20 11:52:07;1.052
P007+33;7.385;33.499;2019-07-30 20:39:25;0.884
P007+39;7.562;38.521;2018-09-19 17:42:42;0.873
P007+41;7.952;41.034;2020-01-29 04:01:43;1.012
P007+64;7.67;63.616;2019-04-08 17:21:54;1.065
P008+08;8.813;8.411;2019-02-21 20:50:53;1.029
P008+23;8.493;23.469;2019-08-13 09:38:03;1.18
P008+28;8.532;28.489;2019-07-30 22:59:34;1.027
P009+16;9.96;15.952;2019-02-21 19:30:32;1.136
P009+31;9.277;31.006;2019-08-12 17:33:23;1.075
P009+36;9.741;36.03;2019-05-06 18:54:17;0.856
P010+01;10.31;0.893;2018-11-14 07:02:33;0.819
P010+18;10.363;18.465;2019-02-20 18:45:48;0.957
P010+21;10.581;20.977;2019-11-26 09:54:58;1.1
P010+26;10.43;25.996;2018-09-19 21:08:01;0.968
P010+34;10.49;33.526;2019-08-05 04:52:34;0.942
P010+39;10.872;38.55;2019-06-21 01:14:09;0.937
P011+13;11.361;13.453;2019-02-19 11:15:24;1.007
P011+23;11.315;23.494;2019-02-20 17:50:26;1.208
P011+29;11.478;28.515;2019-08-17 14:42:04;1.002
P011+41;11.385;41.064;2020-02-11 12:34:01;0.896
P012+31;12.298;31.032;2019-07-10 21:35:15;0.942
P012+36;12.942;36.058;2019-03-22 05:27:10;1.012
P013+18;13.093;18.489;2019-07-04 15:04:16;1.093
P013+21;13.354;21.001;2019-10-02 14:09:21;1.043
P013+26;13.31;26.021;2019-01-25 02:29:25;0.991
P013+34;13.597;33.553;2018-09-16 11:22:55;0.856
P013+74;13.642;73.698;2021-03-02 13:09:56;1.034
P014+08;14.047;8.456;2020-10-29 19:16:02;1.026
P014+24;14.138;23.518;2018-11-15 13:37:37;1.443
P014+29;14.424;28.541;2019-03-23 19:17:49;1.169
P014+39;14.183;38.578;2018-09-20 00:21:08;0.976
P014+41;14.819;41.094;2020-01-28 00:27:04;0.921
P015+01;15.489;0.938;2018-11-14 08:12:07;1.133
P015+19;15.822;18.512;2019-09-24 04:28:56;0.941
P015+31;15.319;31.058;2019-04-28 18:00:09;0.952
P016+21;16.127;21.025;2019-11-24 05:43:28;1.293
P016+24;16.962;23.542;2019-07-29 12:56:17;1.284
P016+26;16.191;26.046;2019-03-13 15:54:53;1.083
P016+34;16.703;33.58;2018-09-23 20:30:26;0.984
P016+36;16.145;36.085;2018-09-18 23:33:25;1.145
P017+29;17.371;28.566;2019-08-06 14:11:09;0.957
P017+39;17.495;38.607;2018-09-18 17:19:17;1.025
P018+01;18.076;0.961;2019-09-18 09:37:11;1.082
P018+19;18.552;18.536;2019-02-18 18:02:55;1.019
P018+21;18.904;21.049;2019-09-16 01:54:53;1.131
P018+31;18.341;31.084;2019-07-07 08:51:29;0.936
P018+41;18.255;41.123;2020-01-28 12:49:06;0.892
P019+11;19.1;11.01;2020-10-29 21:52:55;0.95
P019+24;19.785;23.567;2019-02-18 10:37:21;0.856
P019+26;19.073;26.071;2019-08-14 19:09:02;1.017
P019+34;19.811;33.607;2019-06-19 22:21:24;0.783
P019+36;19.349;36.113;2019-06-19 23:32:11;1.114
P020+01;20.665;0.983;2019-06-06 22:43:01;1.04
P020+29;20.319;28.591;2019-07-19 03:19:19;1.029
P020+39;20.809;38.636;2019-06-05 00:51:48;1.047
P021+19;21.282;18.559;2019-02-18 02:36:57;1.05
P021+21;21.674;21.073;2019-09-22 21:44:12;0.862
P021+26;21.955;26.096;2019-05-26 06:35:38;1.005
P021+31;21.364;31.11;2019-04-25 19:02:43;1.035
P021+41;21.693;41.153;2020-01-28 01:31:24;1.036
P022+24;22.61;23.591;2019-02-17 14:45:25;1.097
P022+34;22.919;33.634;2019-04-27 21:00:53;0.957
P022+36;22.554;36.141;2019-04-24 16:01:27;1.018
P022+44;22.673;43.671;2020-05-10 12:47:12;1.224
P023+29;23.268;28.617;2018-09-17 06:33:26;0.989
P024+19;24.013;18.583;2019-04-18 04:24:49;0.99
P024+21;24.448;21.097;2019-10-21 17:39:08;1.061
P024+26;24.837;26.12;2019-04-26 13:40:12;1.01
P024+31;24.389;31.136;2019-07-07 19:33:26;1.072
P024+39;24.123;38.664;2019-06-03 19:59:26;1.281
P025+24;25.435;23.615;2019-04-15 08:25:54;0.988
P025+36;25.76;36.168;2019-07-12 16:31:21;0.964
P025+41;25.132;41.182;2018-09-16 05:10:37;1.243
P026+19;26.744;18.606;2019-10-03 04:29:45;1.039
P026+29;26.218;28.642;2019-07-16 15:56:40;0.986
P026+34;26.029;33.66;2019-06-05 01:15:07;1.192
P027+21;27.223;21.12;2019-03-31 17:53:07;0.856
P027+26;27.721;26.145;2019-07-14 03:06:09;1.051
P027+31;27.413;31.162;2019-05-17 14:32:39;1.019
P027+39;27.439;38.692;2019-05-21 01:51:07;1.12
P028+24;28.26;23.639;2019-04-02 09:49:04;0.885
P028+36;28.968;36.195;2019-07-12 01:09:01;0.889
P028+41;28.572;41.212;2018-11-14 08:40:45;1.136
P028+49;28.064;48.736;2018-11-15 08:14:55;1.049
P029+19;29.476;18.63;2019-02-17 14:05:28;0.954
P029+21;29.998;21.144;2018-11-11 11:05:37;1.044
P029+29;29.168;28.667;2019-07-12 07:54:45;1.188
P029+34;29.14;33.687;2018-09-17 00:19:22;0.929
P029+44;29.835;43.732;2021-04-19 05:17:43;1.19
P030+26;30.605;26.169;2019-07-19 08:03:04;1.223
P030+31;30.439;31.188;2019-07-16 15:39:03;1.07
P030+39;30.757;38.72;2019-05-23 22:20:28;1.176
P031+24;31.086;23.663;2019-07-23 13:38:30;1.029
P031+46;31.991;46.26;2018-11-12 06:54:23;1.153
P032+19;32.208;18.653;2019-09-25 10:54:10;1.031
P032+21;32.774;21.168;2019-09-14 17:16:39;0.933
P032+29;32.117;28.692;2019-04-03 17:29:55;1.054
P032+34;32.251;33.713;2019-07-08 23:53:30;1.113
P032+36;32.176;36.222;2018-09-16 23:28:52;1.053
P032+41;32.014;41.241;2019-09-15 02:06:06;1.114
P033+24;33.915;23.687;2019-07-19 21:28:17;0.878
P033+26;33.489;26.194;2019-08-02 04:31:33;1.014
P033+31;33.465;31.213;2019-04-30 13:52:45;0.934
P034+39;34.076;38.748;2019-05-18 21:08:24;0.97
P035+29;35.069;28.717;2019-07-10 15:37:02;0.92
P035+34;35.364;33.739;2019-04-07 02:59:28;0.964
P035+36;35.386;36.249;2019-07-05 13:18:20;1.006
P035+41;35.458;41.27;2018-11-11 09:28:06;1.032
P035+46;35.736;46.292;2016-03-23 17:38:08;0.734
P035+49;35.921;48.803;2018-11-10 18:16:14;1.087
P036+24;36.74;23.711;2020-02-08 21:29:18;0.787
P036+26;36.375;26.218;2019-08-25 07:56:53;1.074
P036+31;36.493;31.239;2018-09-17 00:47:17;0.865
P037+19;37.673;18.698;2019-09-04 10:25:21;1.135
P037+39;37.396;38.776;2019-03-04 09:41:32;0.981
P038+01;38.787;1.137;2018-09-24 07:29:44;1.107
P038+29;38.021;28.742;2019-06-24 13:43:05;1.045
P038+34;38.477;33.765;2019-05-12 05:52:08;0.922
P038+36;38.599;36.276;2019-07-19 04:50:45;0.98
P038+41;38.903;41.299;2020-01-28 07:02:55;1.014
P039+16;39.593;16.204;2018-11-09 23:36:35;0.921
P039+26;39.26;26.242;2019-07-19 19:08:23;1.012
P039+31;39.521;31.264;2018-09-16 04:29:47;0.911
P040+11;40.203;11.189;2018-11-09 00:38:23;0.901
P040+29;40.974;28.766;2019-04-24 19:50:20;0.922
P040+39;40.72;38.804;2019-08-24 17:24:41;1.107
P041+34;41.593;33.791;2019-08-31 03:07:53;0.919
P041+36;41.808;36.303;2019-05-01 02:15:14;0.859
P041+74;41.555;73.934;2019-04-11 04:33:23;1.058
P042+26;42.147;26.266;2020-12-21 01:00:00;1.038
P042+41;42.35;41.327;2019-09-01 18:41:36;1.12
P043+14;43.316;13.725;2018-11-08 06:59:36;1.07
P043+19;43.139;18.744;2018-11-09 15:50:56;1.069
P044+34;44.707;33.817;2019-07-06 23:08:53;0.897
P044+39;44.04;38.831;2019-05-31 23:20:37;0.917
P044+44;44.181;43.852;2019-02-17 15:21:51;0.876
P045+19;45.873;18.766;2018-11-08 12:35:51;1.471
P045+36;45.021;36.329;2019-07-24 14:45:08;0.908
P047+26;47.921;26.313;2020-12-12 02:16:27;1.134
P048+11;48.119;11.254;2018-11-05 17:31:52;1.02
P048+14;48.645;13.769;2018-11-05 01:25:39;0.99
P050+09;50.699;8.765;2019-07-24 01:26:18;0.98
P051+31;51.641;31.363;2020-10-05 05:59:09;0.972
P052+29;52.791;28.863;2020-09-18 16:29:03;1.011
P054+31;54.673;31.388;2019-08-06 02:38:45;0.998
P054+69;54.174;69.023;2018-11-03 13:35:05;0.994
P057+31;57.706;31.412;2020-09-16 03:57:55;1.091
P057+34;57.178;33.917;2020-09-26 17:49:10;0.979
P058+11;58.678;11.339;2018-11-07 01:23:32;1.187
P060+31;60.74;31.436;2020-08-19 23:08:51;1.12
P060+74;60.384;74.085;2018-11-04 12:54:16;1.049
P061+29;61.662;28.933;2020-03-27 08:52:30;1.223
P062+24;62.206;23.917;2021-02-11 08:24:45;1.234
P062+26;62.368;26.428;2020-06-27 23:15:51;1.398
P063+11;63.959;11.38;2018-11-04 21:47:43;1.117
P064+29;64.62;28.956;2020-02-06 17:12:56;1.238
P065+19;65.019;18.919;2020-10-08 01:57:49;1.085
P065+24;65.039;23.939;2020-09-19 00:18:51;0.989
P065+26;65.259;26.451;2019-09-25 06:56:41;1.064
P066+87;66.127;86.568;2018-10-31 19:49:44;1.787
P067+19;67.755;18.94;2020-09-19 06:04:30;1.217
P067+24;67.87;23.961;2020-02-05 08:18:07;0.866
P067+29;67.579;28.978;2019-09-25 12:15:31;1.12
P068+21;68.897;21.458;2020-03-04 15:21:48;1.161
P068+26;68.15;26.473;2019-09-23 04:30:01;1.084
P068+69;68.689;69.136;2018-10-31 14:04:24;1.086
P069+01;69.856;1.384;2019-02-17 15:34:25;1.231
P070+24;70.703;23.982;2020-10-04 04:39:56;1.035
P070+29;70.539;29.001;2020-06-20 04:05:38;1.045
P071+06;71.269;6.416;2020-06-26 10:17:27;1.243
P071+09;71.656;8.929;2019-02-21 02:49:01;1.321
P071+26;71.043;26.495;2020-02-15 13:14:13;1.543
P072+01;72.445;1.404;2019-03-18 15:04:23;1.372
P072+04;72.63;3.916;2020-06-10 05:02:41;1.082
P072+44;72.958;44.078;2021-01-28 09:00:28;1.121
P073+06;73.874;6.435;2020-05-21 21:49:59;1.373
P074+09;74.276;8.948;2019-02-10 09:57:13;1.643
P075+01;75.034;1.423;2020-06-26 10:08:37;1.302
P075+04;75.224;3.935;2020-05-29 01:02:17;1.282
P075+82;75.736;81.704;2018-10-31 01:30:38;1.843
P076+06;76.48;6.454;2019-02-18 01:17:26;1.654
P084+54;84.455;54.2;2020-03-24 09:32:07;0.806
P087+49;87.233;49.201;2019-03-15 10:40:36;0.951
P089+59;89.689;59.255;2020-06-14 03:17:22;0.969
P097+69;97.936;69.345;2019-02-16 15:51:27;1.021
P098+74;98.549;74.361;2018-10-30 10:31:49;1.138
P102+64;102.226;64.357;2021-01-30 16:50:46;0.947
P104+34;104.069;34.257;2019-02-17 15:28:46;0.953
P105+69;105.291;69.393;2018-10-28 09:27:30;1.073
P108+62;108.16;61.888;2019-07-01 06:31:29;1.251
P108+64;108.216;64.396;2019-04-01 16:19:08;1.18
P109+37;109.494;36.802;2020-10-06 18:52:07;0.89
P10Hetdex;170.437;49.748;2018-07-12 22:01:32;0.919
P110+34;110.334;34.297;2019-08-22 15:49:45;1.018
P110+39;110.746;39.32;2020-02-09 19:35:39;1.057
P111+27;111.588;26.776;2019-12-05 11:51:30;0.734
P111+67;111.526;66.925;2019-02-08 10:49:44;1.051
P111+72;111.605;71.94;2019-06-24 07:33:25;1.081
P112+29;112.036;29.288;2018-10-27 18:57:46;1.037
P112+32;112.423;31.801;2019-03-09 02:17:39;1.058
P112+37;112.727;36.822;2019-02-08 21:47:11;0.965
P112+44;112.695;44.351;2019-06-28 16:03:12;0.966
P112+69;112.662;69.44;2018-10-27 11:22:34;1.043
P113+34;113.468;34.317;2019-09-04 19:11:19;0.941
P113+87;113.635;86.876;2021-03-22 20:32:53;1.707
P114+27;114.492;26.794;2019-12-03 12:36:28;0.963
P114+39;114.093;39.341;2019-08-18 22:57:26;0.911
P115+29;115.004;29.307;2019-08-31 20:07:36;0.91
P115+32;115.469;31.82;2019-08-22 15:09:23;1.044
P115+37;115.962;36.843;2019-09-24 16:16:37;1.017
P115+59;115.081;59.422;2019-04-01 05:35:17;1.245
P116+34;116.603;34.337;2019-02-15 20:18:28;0.874
P117+27;117.388;26.812;2019-09-10 17:52:08;1.04
P117+29;117.973;29.325;2019-10-20 13:03:30;1.089
P117+39;117.441;39.361;2018-09-16 05:06:18;1.029
P117+57;117.451;56.928;2020-02-24 15:35:20;1.048
P118+14;118.017;14.265;2019-03-16 03:46:32;0.864
P118+32;118.516;31.839;2019-10-03 13:00:02;1.023
P118+42;118.535;41.878;2019-12-02 04:27:32;0.838
P119+34;119.739;34.356;2019-08-24 02:38:54;0.924
P119+37;119.197;36.863;2019-08-26 17:25:40;1.005
P119+49;119.002;49.41;2020-09-05 03:00:12;1.025
P119+54;119.972;54.434;2020-02-17 22:08:44;1.297
P119+62;119.166;61.956;2019-06-28 06:08:21;1.083
P11Hetdex12;172.558;47.493;2018-07-26 09:06:04;0.986
P120+27;120.289;26.829;2019-09-27 08:11:38;1.025
P120+29;120.943;29.343;2018-09-14 21:27:38;1.022
P120+39;120.79;39.382;2019-09-10 11:20:20;0.91
P120+69;120.05;69.486;2018-10-27 07:42:13;1.02
P121+32;121.564;31.857;2019-03-17 07:44:15;0.971
P121+52;121.999;51.937;2019-12-01 15:53:05;0.813
P122+34;122.875;34.375;2019-08-18 21:27:52;1.032
P122+37;122.433;36.882;2019-08-19 03:30:10;1.103
P122+42;122.012;41.899;2019-02-18 06:25:01;0.874
P122+47;122.443;46.921;2019-12-09 09:44:23;1.065
P122+49;122.983;49.434;2020-01-29 08:01:55;0.985
P122+57;122.198;56.957;2020-01-28 11:23:44;1.091
P123+14;123.359;14.298;2019-03-20 05:05:07;0.94
P123+17;123.295;16.808;2019-03-09 15:50:05;0.993
P123+27;123.19;26.847;2019-09-10 23:28:18;1.047
P123+29;123.914;29.361;2019-09-09 06:08:11;0.852
P123+44;123.563;44.418;2019-12-01 06:32:48;0.857
P124+32;124.612;31.875;2019-09-08 18:28:21;0.876
P124+39;124.14;39.402;2019-09-08 19:58:34;1.136
P124+54;124.426;54.461;2020-02-11 19:49:44;1.019
P124+62;124.678;61.989;2020-01-22 17:13:25;1.266
P124+67;124.77;67.006;2018-08-13 17:48:49;1.193
P125+37;125.67;36.901;2019-09-07 09:25:20;0.856
P125+42;125.491;41.92;2019-12-09 04:34:51;1.077
P125+59;125.273;59.484;2019-12-02 08:11:14;1.189
P126+02;126.824;1.768;2020-11-30 14:42:22;1.587
P126+09;126.711;9.298;2019-02-28 12:45:54;0.97
P126+27;126.093;26.864;2019-10-19 19:51:19;1.096
P126+29;126.883;29.379;2018-09-14 21:15:00;0.945
P126+34;126.012;34.394;2019-03-10 08:37:54;0.948
P126+47;126.234;46.944;2019-11-30 09:26:50;0.96
P126+49;126.965;49.458;2020-02-01 03:17:15;1.002
P126+52;126.2;51.962;2020-02-11 14:25:27;0.598
P126+57;126.949;56.985;2020-02-10 11:29:14;1.056
P126+65;126.237;64.507;2018-08-14 12:40:37;1.208
P127+32;127.661;31.894;2019-08-20 15:22:09;0.893
P127+39;127.49;39.422;2019-04-08 23:02:52;1.015
P127+44;127.189;44.44;2020-02-09 22:09:40;1.11
P128+27;128.994;26.882;2019-08-19 12:48:18;0.951
P128+37;128.908;36.921;2018-09-12 18:04:21;0.952
P128+42;128.971;41.941;2019-02-14 01:21:34;0.959
P128+54;128.882;54.488;2020-01-29 00:17:48;1.05
P129+02;129.414;1.783;2020-12-06 01:14:48;1.024
P129+29;129.858;29.397;2019-03-13 08:46:24;0.938
P129+34;129.15;34.412;2018-10-27 03:17:52;0.915
P12Hetdex11;172.558;52.122;2018-07-24 00:21:12;0.968
P130+32;130.71;31.912;2019-04-05 06:01:24;0.895
P130+39;130.842;39.442;2019-12-10 15:28:10;1.037
P130+44;130.816;44.461;2019-03-13 17:54:25;1.098
P130+47;130.028;46.966;2019-02-13 14:01:16;1.048
P130+49;130.95;49.481;2020-01-23 18:12:57;0.969
P130+52;130.403;51.987;2020-02-12 01:34:51;1.188
P130+60;130.378;59.514;2019-10-28 10:41:34;1.034
P130+62;130.196;62.022;2018-10-25 17:13:08;1.164
P131+57;131.704;57.013;2019-10-26 19:56:34;0.991
P131+67;131.409;67.045;2018-08-14 03:55:38;1.087
P132+02;132.003;1.798;2020-12-23 10:25:17;0.936
P132+29;132.826;29.414;2018-10-24 12:23:52;0.935
P132+34;132.291;34.431;2019-12-14 19:58:47;1.05
P132+37;132.147;36.94;2019-11-21 02:06:57;0.918
P132+42;132.452;41.961;2019-10-28 02:54:46;1.067
P132+65;132.259;64.542;2018-09-25 01:06:58;1.03
P133+19;133.529;19.378;2020-05-21 22:01:25;0.977
P133+32;133.76;31.929;2019-12-01 20:33:29;0.611
P133+47;133.822;46.988;2019-03-25 22:18:28;0.739
P133+55;133.341;54.514;2019-10-22 18:26:46;1.066
P134+02;134.593;1.813;2020-12-31 01:21:25;1.001
P134+27;134.799;26.915;2019-12-06 04:00:14;0.842
P134+39;134.195;39.461;2019-10-18 14:13:33;0.94
P134+44;134.444;44.482;2019-02-06 10:18:25;0.977
P134+50;134.936;49.504;2018-10-23 23:18:21;1.094
P134+52;134.609;52.011;2019-10-23 03:12:28;1.03
P135+29;135.798;29.431;2020-02-13 07:43:02;0.908
P135+34;135.427;34.449;2018-10-23 16:18:59;0.985
P135+37;135.386;36.958;2019-11-21 03:40:39;0.933
P135+42;135.935;41.981;2019-09-27 00:33:46;0.987
P135+60;135.483;59.544;2019-11-19 07:15:19;0.971
P135+62;135.72;62.054;2018-10-24 00:14:06;1.047
P136+17;136.818;16.887;2018-10-19 17:27:19;0.941
P136+32;136.811;31.947;2020-01-23 12:20:13;0.937
P136+57;136.462;57.041;2019-11-14 01:17:53;0.934
P137+02;137.183;1.828;2020-12-12 10:45:57;0.963
P137+39;137.549;39.48;2019-10-28 12:52:12;0.9
P137+47;137.619;47.01;2019-10-09 04:44:37;1.064
P137+55;137.803;54.539;2019-07-04 19:54:08;1.004
P138+29;138.77;29.448;2020-01-29 01:17:35;0.769
P138+34;138.566;34.467;2019-12-06 16:03:18;0.884
P138+37;138.626;36.977;2019-11-20 06:56:24;0.821
P138+45;138.073;44.503;2019-03-10 23:26:30;0.985
P138+50;138.924;49.527;2018-10-19 13:47:00;1.144
P138+52;138.818;52.035;2019-07-07 16:52:47;0.813
P138+65;138.29;64.577;2019-03-20 11:46:55;0.979
P138+67;138.057;67.084;2019-09-02 03:10:33;1.07
P139+02;139.773;1.843;2020-12-11 03:56:41;1.103
P139+32;139.862;31.964;2020-01-27 06:30:10;0.955
P139+42;139.418;42.001;2019-02-06 13:15:47;0.884
P13Hetdex12;174.68;45.332;2018-08-27 18:05:03;1.021
P140+39;140.903;39.499;2019-10-24 23:37:32;0.86
P140+60;140.594;59.573;2019-04-27 01:08:06;1.007
P141+29;141.743;29.465;2020-02-04 07:56:05;0.879
P141+34;141.707;34.484;2019-12-04 03:49:58;0.896
P141+37;141.867;36.995;2018-10-18 20:35:19;0.992
P141+45;141.704;44.523;2018-10-24 00:17:54;1.348
P141+47;141.417;47.031;2018-09-05 07:37:02;1.081
P141+57;141.224;57.067;2019-02-17 18:14:28;0.941
P141+62;141.253;62.085;2019-10-26 22:33:19;0.904
P142+32;142.914;31.981;2020-01-12 21:13:40;1.056
P142+42;142.902;42.02;2018-10-15 07:34:10;1.042
P142+50;142.914;49.549;2019-03-04 00:10:44;1.246
P142+55;142.268;54.564;2018-09-04 21:04:30;0.994
P143+52;143.027;52.059;2019-02-17 17:50:21;0.949
